Day,Cash On Hand
11,104536
12,785025
13,491118
14,1279159
15,2211996
16,2779684
17,3329983
18,3657247
19,3747479
20,4452034
21,5455966
22,5450022
23,7279838
24,8292177
25,8870866
26,9303520
27,9965999
28,9790930
29,10548465
30,10646418
31,12866086
32,13648839
33,17168027
34,19947247
35,22691071
36,22757568
37,22234560
38,24095523
39,25601512
40,25056240
41,25981602
42,25675156
43,27797406
44,32920846
45,36144120
46,36716246
47,37531540
48,37675825
49,37412299
50,37881874
51,38435030
52,40309462
53,44542935
54,46973454
55,46627240
56,48480417
57,48449541
58,49169749
59,48378778
60,52191657
61,51588598
62,52558006
63,52643172
64,54200880
65,60088134
66,60306189
67,61081556
68,61017490
69,61655901
70,64009696
71,67970035
72,70220234
73,69127052
74,70716372
75,70926111
76,71398771
77,71033295
78,74427805
79,74642844
80,75607902
81,77725525
82,78884160
83,79136792
84,82344856
85,85252709
86,84912482
87,88591837
88,89811448
89,90806482
90,92756532
