Day,Sales,Trading Profit,Operating Expense,Net Profit
11,5074689,3021738,1177315,1844423
12,5990789,3529048,1241460,2288615
13,6903874,3687488,1443453,2244035
14,7811505,4038998,1583044,2455954
15,8815356,4906225,1674059,3232166
16,10698971,6644551,1796107,4848444
17,11612532,6433350,1996670,4436680
18,12477697,6960953,2153452,4807501
19,13340279,7693471,2251467,5442004
20,14142462,8378845,2369096,6009749
21,15250266,9398588,2492969,6905619
22,16768025,10770375,2633553,8136822
23,19014154,12905875,2767877,10137998
24,20883669,14066811,3008998,11057813
25,21570357,14251222,3136998,11114224
26,22615983,14841042,3264451,11576591
27,23800884,15643661,3335674,12307987
28,24738937,16474710,3451897,13022813
29,26301994,17930706,3545120,14385586
30,27184108,17928594,3784682,14143912
31,29939561,20280455,3976668,16303787
32,30855868,20805504,4130223,16675281
33,35109124,24567499,4220860,20346639
34,38949751,27877164,4392244,23484920
35,43133246,31331878,4532263,26799615
36,44466407,32128786,4651355,27477431
37,45408103,31589174,5365717,26223457
38,47455049,33014165,5578368,27435797
39,50208682,35594202,5886040,29708162
40,51949439,36287292,6050477,30236815
41,53346950,37575973,6153174,31422799
42,54163260,37317431,6814118,30503313
43,56628843,39684398,7025863,32658535
44,61954660,43493802,7254908,36238894
45,66733022,47556294,7489492,40066802
46,68336148,48821093,7963360,40857733
47,69566676,49937316,8102622,41834694
48,70474075,50729316,8203884,42525432
49,71373975,51516404,8365146,43151258
50,72220438,52260874,8513002,43747872
51,72984142,51933065,8750218,43182847
52,76845064,54655649,9627696,45027953
53,81338303,58712768,9724130,48988638
54,84630912,61595436,9822888,51772548
55,86020816,62213164,10673874,51539290
56,89421825,65509099,10774576,54734523
57,90515506,66120942,11154357,54966585
58,92044303,67033691,11450094,55583597
59,93011497,66036418,13234927,52801491
60,97724069,70653571,13365768,57287803
61,99149824,71968829,13531000,58437829
62,100282313,72695007,13714082,58980925
63,101406614,73460149,14057348,59402801
64,103193816,75003713,14300176,60703537
65,109156045,80400556,14388485,66012071
66,110043555,81202964,14461794,66741170
67,110952153,82000530,14608359,67392171
68,112017162,82890623,14702118,68188505
69,113074077,83042225,15133956,67908269
70,116910012,85808787,15736678,70072109
71,121188942,89828382,15820299,74008083
72,123767080,92041108,16154905,75886203
73,124635397,91967531,17020941,74946590
74,126820512,93564306,17623403,75940903
75,127900410,93210603,17703650,75493621
76,128996042,93771272,17964582,75793358
77,130182421,93244969,18995397,74236240
78,133713501,95038373,19131967,75893074
79,137064028,97821355,20151405,77656618
80,139646711,99035816,21126420,77896064
81,142822743,102089846,21214533,80861981
82,144086753,103236793,21319908,81903553
83,145344838,104401300,21379465,83008503
84,148848023,107662041,21439066,86209643
85,152957766,111527602,21565822,89948448
86,154319278,110954511,23267561,87673618
87,158454272,114645460,23723200,90908928
88,160691691,116766166,23847016,92905818
89,162253453,117562901,24413744,93135825
90,164672031,119347309,24882272,94451705
